yearmonth,pr,eto,tasmin,tasmax,tas
1996 Feb,313.624115238528,89.8643339258679,22.8319679712476,30.5470621435527,26.6895150574001
1996 Mar,419.527589075664,99.8305135238805,23.159353750629,30.8914862492768,27.0254199999529
1996 Apr,328.526492395345,89.9392304610924,23.2304323651617,30.5678553124151,26.8991438387884
1996 May,307.422733374601,92.8838708527695,23.4123954470773,31.1533489722426,27.28287220966
1996 Jun,204.371413902418,107.587392297722,22.7835303410035,30.7529109778019,26.7682206594027
1996 Jul,104.995358275239,110.78303526915,22.5704068225585,31.7204871202248,27.1454469713916
1996 Aug,119.543663414272,119.906348379406,23.0245854919661,32.3079189468736,27.6662522194198
1996 Sep,100.913030390203,121.577166818303,23.6901302503176,33.1604026595046,28.4252664549111
1996 Oct,140.07635249753,118.732186948054,23.630852219257,32.8323425861642,28.2315974027106
1996 Nov,162.109329675076,111.459328458154,23.5678668306189,32.3796774632832,27.973772146951
1996 Dec,176.3756747274,104.547040490004,23.2143850870819,31.586011444619,27.4001982658504
1997 Jan,315.566626181969,97.6793790004663,23.0286598518664,30.4729326549981,26.7507962534323
1997 Feb,321.338831794332,91.4423153047731,22.7774441433678,30.3172407170422,26.547342430205
1997 Mar,357.802173906529,90.323524360826,22.9261284169406,30.2070781083752,26.5666032626579
1997 Apr,267.307907208888,97.4933834329865,23.4059609561747,30.8765090389365,27.1412349975556
1997 May,244.309392432489,104.651626943837,23.4848216457844,31.0391471343633,27.2619843900738
1997 Jun,76.8092817103369,117.614279905014,23.5994671277981,32.3069664731298,27.953216800464
1997 Jul,33.4938365637198,132.497876545381,23.596146280107,33.1301900066704,28.3631681433887
1997 Aug,92.1082176626081,125.410515867041,23.3809186480705,32.8279592150335,28.104438931552
1997 Sep,26.3356068571644,137.668795903054,24.1455963586209,34.9194680121758,29.5325321853984
1997 Oct,51.0934476231682,132.404799814055,24.4295573816156,35.3770358960668,29.9032966388412
1997 Nov,160.843985647845,103.289266793686,23.9259935860568,33.286661501702,28.6063275438794
1997 Dec,124.012216147586,116.022857723857,23.990965136364,32.7828960884707,28.3869306124174
1998 Jan,205.477363106767,105.754933312094,23.4259526878396,32.0889220342401,27.7574373610399
1998 Feb,184.275495850828,104.211589391415,23.9205897404597,32.6007639626175,28.2606768515386
1998 Mar,230.137754395163,106.707478829389,23.562876322907,31.923547809919,27.743212066413
1998 Apr,304.643206556873,87.4087665299692,23.38345973186,31.690045999305,27.5367528655825
1998 May,247.429764109956,90.6425381793073,23.4211658118085,31.2530786831385,27.3371222474735
1998 Jun,207.935354706804,97.9798977375031,22.8599655501236,31.5319204684075,27.1959430092655
1998 Jul,144.851540588063,113.007249613485,23.0292534770845,32.0617597321104,27.5455066045975
1998 Aug,73.8152582828815,129.750627654544,23.1716166949723,33.3385322408427,28.2550744679075
